Contributor General,Location City,Location Country,Location State,Latitude (generated),Longitude (generated)
wellge,whitewater',united states',wisconsin',42.8336,-88.7293
wellge,west superior (superior)',united states',wisconsin',46.7208,-92.1041
wellge,waupun',united states',wisconsin',43.6333,-88.7296
wellge,waukesha',united states',wisconsin',43.0117,-88.2315
wellge,watertown',united states',wisconsin',43.1948,-88.7286
wellge,washburn',united states',wisconsin',46.6733,-90.8949
wellge,waco',united states',texas',31.5493,-97.1467
wellge,van buren',united states',arkansas',35.4368,-94.3483
wellge,valdosta',united states',georgia',30.8327,-83.2785
wellge,tuscaloosa',united states',alabama',33.2096,-87.5675
wellge,tilton',united states',new hampshire',43.4423,-71.589
wellge,thomasville',united states',georgia',30.8366,-83.9788
wellge,texarkana',united states',"texas', 'arkansas'",,
wellge,tallahassee',united states',florida',30.4381,-84.2809
wellge,tacoma',united states',washington (state)',47.2496,-122.4399
wellge,"superior', 'duluth'",united states',wisconsin',,
wellge,superior',united states',wisconsin',46.7208,-92.1041
wellge,sioux city',united states',iowa',42.4967,-96.4059
wellge,sheboygan',united states',wisconsin',43.7508,-87.7145
wellge,selma',united states',alabama',32.4079,-87.0207
wellge,seattle',united states',washington (state)',47.6038,-122.3301
wellge,santa fe.',united states',new mexico',35.687,-105.9378
wellge,salt lake city',united states',utah',40.767,-111.8904
wellge,saint paul',united states',minnesota',44.9504,-93.1015
wellge,rock island',united states',illinois',41.5095,-90.5787
wellge,"rochester', 'gonic', 'east rochester'",united states',new hampshire',,
wellge,redfield',united states',south dakota',44.8758,-98.5187
wellge,quitman',united states',georgia',30.7849,-83.5599
wellge,pensacola',united states',florida',30.4213,-87.2169
wellge,pendleton',united states',oregon',45.6721,-118.7886
wellge,paris',united states',texas',33.6618,-95.5555
wellge,"oconomowoc', 'sheboygan'",united states',wisconsin',43.1117,-88.4993
wellge,norfolk',united states',virginia',36.8465,-76.2916
wellge,norfolk',united states',nebraska',42.0283,-97.417
wellge,niagara falls',"united states', 'canada'","new york (state)', 'ontario'",43.1031,-79.0303
wellge,newfields',united states',new hampshire',43.037,-70.9384
wellge,montgomery',united states',alabama',32.367,-86.3006
wellge,moline',united states',illinois',41.5067,-90.5151
wellge,missoula',united states',montana',46.8701,-113.9953
wellge,merrill',united states',wisconsin',45.1805,-89.6835
wellge,menomonee falls',united states',wisconsin',43.1789,-88.1167
wellge,memphis',united states',tennessee',35.149,-90.0516
